locus_tag	ftype	length_bp	gene	EC_number	COG	product
INPMIPDD_00001	CDS	2010	rep_1	3.6.4.12	COG0210	ATP-dependent DNA helicase Rep
INPMIPDD_00002	CDS	570	xpt	2.4.2.22	COG0503	Xanthine phosphoribosyltransferase
INPMIPDD_00003	CDS	1320	norR_1			Anaerobic nitric oxide reductase transcription regulator NorR
INPMIPDD_00004	tRNA	95				tRNA-Leu(caa)
INPMIPDD_00005	CDS	1254				hypothetical protein
INPMIPDD_00006	CDS	813				hypothetical protein
INPMIPDD_00007	CDS	981	cysA	7.3.2.3	COG1118	Sulfate/thiosulfate import ATP-binding protein CysA
INPMIPDD_00008	CDS	873	cysW		COG4208	Sulfate transport system permease protein CysW
INPMIPDD_00009	CDS	822	cysT_1		COG0555	Sulfate transport system permease protein CysT
INPMIPDD_00010	CDS	1011	sbp_1		COG1613	Sulfate-binding protein
INPMIPDD_00011	CDS	180				hypothetical protein
INPMIPDD_00012	CDS	1920				hypothetical protein
INPMIPDD_00013	CDS	1185				hypothetical protein
INPMIPDD_00014	CDS	999				hypothetical protein
INPMIPDD_00015	CDS	621				hypothetical protein
INPMIPDD_00016	CDS	948				IS110 family transposase ISPpu10
INPMIPDD_00017	CDS	1392				hypothetical protein
INPMIPDD_00018	CDS	1281	davT_1	2.6.1.48	COG0160	5-aminovalerate aminotransferase DavT
INPMIPDD_00019	CDS	1443	davD_1	1.2.1.-	COG1012	Glutarate-semialdehyde dehydrogenase
INPMIPDD_00020	CDS	636	rhtB_1		COG1280	Homoserine/homoserine lactone efflux protein
INPMIPDD_00021	tRNA	77				tRNA-Arg(ccg)
INPMIPDD_00022	CDS	987				hypothetical protein
INPMIPDD_00023	CDS	1638				hypothetical protein
INPMIPDD_00024	CDS	1185	ftsH_1	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
INPMIPDD_00025	CDS	786				hypothetical protein
INPMIPDD_00026	CDS	744				hypothetical protein
INPMIPDD_00027	CDS	1149				hypothetical protein
INPMIPDD_00028	CDS	627				hypothetical protein
INPMIPDD_00029	CDS	948				hypothetical protein
INPMIPDD_00030	CDS	1155				hypothetical protein
INPMIPDD_00031	CDS	453				hypothetical protein
INPMIPDD_00032	CDS	765				hypothetical protein
INPMIPDD_00033	CDS	372				hypothetical protein
INPMIPDD_00034	CDS	297				hypothetical protein
INPMIPDD_00035	CDS	771				hypothetical protein
INPMIPDD_00036	CDS	927	rbsK_1	2.7.1.15		Ribokinase
INPMIPDD_00037	CDS	1332	fucP		COG0738	L-fucose-proton symporter
INPMIPDD_00038	CDS	1068				hypothetical protein
INPMIPDD_00039	CDS	765	deoR		COG1349	Deoxyribose operon repressor
